,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,max_i_ka,df,parallel,type,in_service,coords
100,43970267,,179,318,0.085,0.156,0.108,0.03379085840592258,0.414,1.0,1,cs,True,"[(554222.410869, 145794.936085), (554171.584, 145820.24800000002)]"
101,43959751,,470,371,0.445,0.156,0.108,0.03379085840592258,0.414,1.0,1,cs,True,"[(554366.090457, 146119.143392), (554284.884109, 145832.779466)]"
102,52076971,,164,371,0.001,0.06,0.099,0.020848035196507138,0.668,1.0,1,cs,True,"[(554284.0, 145840.0), (554284.884109, 145832.779466)]"
103,88874777,,274,87,0.001,0.06,0.099,0.020848035196507138,0.668,1.0,1,cs,True,"[(554395.0, 146129.0), (554393.103967, 146135.927777)]"
104,52076981,,185,180,0.001,0.06,0.099,0.020848035196507138,0.668,1.0,1,cs,True,"[(554284.0, 145840.0), (554277.224406, 145837.926629)]"
105,88874770,,311,278,0.001,0.06,0.099,0.020848035196507138,0.668,1.0,1,cs,True,"[(554395.0, 146129.0), (554391.0270189999, 146132.924597)]"
106,43958386,,182,168,0.181,0.156,0.113,0.03128783185733572,0.414,1.0,1,cs,True,"[(554464.193712, 146268.08748299998), (554441.546496, 146377.12210799998)]"
107,52034727,,192,168,0.001,0.02,0.033,0.00694934506550238,2.004,1.0,1,cs,True,"[(554436.0, 146391.0), (554441.546496, 146377.12210799998)]"
108,52226401,,342,182,0.001,0.06,0.099,0.020848035196507138,0.668,1.0,1,cs,True,"[(554462.0, 146263.0), (554464.193712, 146268.08748299998)]"
109,52035919,,160,179,0.001,0.06,0.099,0.020848035196507138,0.668,1.0,1,cs,True,"[(554225.0, 145790.0), (554222.410869, 145794.936085)]"
110,44009181,,231,109,0.015,0.156,0.108,0.03377364890329669,0.414,1.0,1,cs,True,"[(554179.0, 145632.0), (554185.906, 145627.137)]"
111,43886004,,1783,1417,0.005,0.2238,0.086,0.009008600390099925,0.22,1.0,1,cs,True,"[(554319.73, 145578.952), (554322.366, 145575.64800000002)]"
112,43885801,,671,1417,0.007,0.2238,0.086,0.009008600390099925,0.22,1.0,1,cs,True,"[(554328.837, 145569.608), (554322.366, 145575.64800000002)]"
113,43905604,,1783,581,0.005,0.8409,0.094,0.012281421644563265,0.105,1.0,1,cs,True,"[(554319.73, 145578.952), (554321.666, 145580.695)]"
114,43893986,,875,993,0.002,0.2238,0.082,0.0045043001950499624,0.255,1.0,1,cs,True,"[(554296.698, 145533.456), (554297.267, 145531.565)]"
115,43896080,,600,993,0.004,0.2238,0.082,0.0045043001950499624,0.255,1.0,1,cs,True,"[(554298.465, 145527.581), (554297.267, 145531.565)]"
116,43894096,,875,1633,0.014,0.2238,0.082,0.0045043001950499624,0.255,1.0,1,cs,True,"[(554296.698, 145533.456), (554295.725, 145550.677)]"
117,43825024,,1176,1633,0.004,0.4476,0.09,0.011258042236110585,0.15,1.0,1,cs,True,"[(554289.18, 145550.793), (554295.725, 145550.677)]"
118,43894045,,1796,1633,0.011,0.2238,0.082,0.0045043001950499624,0.255,1.0,1,cs,True,"[(554297.249, 145558.826), (554295.725, 145550.677)]"
119,43884293,,2035,724,0.034,0.9266,0.086,0.02060124821589481,0.149,1.0,1,cs,True,"[(554353.046945, 145530.75370899998), (554353.573, 145536.18300000002)]"
120,43883492,,840,724,0.006,0.9266,0.086,0.02060124821589481,0.149,1.0,1,cs,True,"[(554354.378, 145539.291), (554353.573, 145536.18300000002)]"
121,52105668,,3042,2276,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1,cs,True,"[(554286.0, 145634.0), (554290.637533, 145638.476302)]"
122,43885175,,1034,792,0.012,0.2238,0.086,0.009008600390099925,0.22,1.0,1,cs,True,"[(554298.2829999999, 145601.8), (554301.212, 145594.718)]"
123,132749457,,871,792,0.005,0.2238,0.086,0.009008600390099925,0.22,1.0,1,cs,True,"[(554302.33, 145591.666), (554301.212, 145594.718)]"
124,43906196,,1031,1498,0.001,0.8409,0.094,0.012281421644563265,0.105,1.0,1,cs,True,"[(554314.566, 145587.11), (554314.145, 145586.811)]"
125,43885679,,1009,1498,0.011,0.2238,0.086,0.009008600390099925,0.22,1.0,1,cs,True,"[(554310.815, 145591.49599999998), (554314.145, 145586.811)]"
126,43906201,,1031,1770,0.005,0.8409,0.094,0.012281421644563265,0.105,1.0,1,cs,True,"[(554314.566, 145587.11), (554315.4920000001, 145587.859)]"
127,43844051,,993,1027,0.006,0.4476,0.083,0.005628921575691713,0.174,1.0,1,cs,True,"[(554297.267, 145531.565), (554298.553, 145531.884)]"
128,43842408,,1229,1027,0.004,0.4476,0.083,0.005628921575691713,0.174,1.0,1,cs,True,"[(554301.353, 145532.576), (554298.553, 145531.884)]"
129,52105772,,3043,2289,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1,cs,True,"[(554286.0, 145634.0), (554285.871071, 145628.336417)]"
130,52105692,,3044,2279,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1,cs,True,"[(554286.0, 145634.0), (554290.176186, 145640.54697)]"
131,43826931,,2038,1255,0.034,0.2633,0.078,0.013817932201067487,0.319,1.0,1,cs,True,"[(554348.608866, 145523.903971), (554351.807, 145551.786)]"
132,52929756,,3045,2036,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1,cs,True,"[(554352.0, 145525.0), (554352.390054, 145521.464158)]"
133,44038497,,833,2036,0.004,1.3306,0.09,0.006900129764882415,0.093,1.0,1,cs,True,"[(554351.26, 145516.293), (554352.390054, 145521.464158)]"
134,43891634,,2033,1021,0.007,1.4662,0.09,0.023149809904275686,0.11,1.0,1,cs,True,"[(554354.601817, 145524.87779600002), (554356.884, 145521.0)]"
135,43826666,,2282,1034,0.042,0.2633,0.078,0.013817932201067487,0.319,1.0,1,cs,True,"[(554287.885409, 145628.785214), (554298.2829999999, 145601.8)]"
136,119479064,,1656,863,0.001,0.2238,0.086,0.009008600390099925,0.22,1.0,1,cs,True,"[(554344.545, 145556.79), (554346.176, 145555.671)]"
137,43842378,,1656,503,0.015,0.4476,0.083,0.005628921575691713,0.174,1.0,1,cs,True,"[(554344.545, 145556.79), (554341.7270000001, 145552.635)]"
138,43884997,,1656,1231,0.004,0.2238,0.086,0.009008600390099925,0.22,1.0,1,cs,True,"[(554344.545, 145556.79), (554342.356, 145558.28699999998)]"
139,43876531,,834,1231,0.001,0.2238,0.086,0.009008600390099925,0.22,1.0,1,cs,True,"[(554341.42, 145558.93099999998), (554342.356, 145558.28699999998)]"
140,210848517,,1307,2271,0.065,0.2633,0.078,0.013817932201067487,0.319,1.0,1,cs,True,"[(554273.454, 145699.521), (554279.769651, 145638.24672999998)]"
141,210846343,,2539,2271,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1,cs,True,"[(554286.0, 145634.0), (554279.769651, 145638.24672999998)]"
142,52105764,,3048,2288,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1,cs,True,"[(554286.0, 145634.0), (554291.5601649999, 145634.33524400002)]"
143,43885880,,1255,976,0.007,0.2238,0.086,0.009008600390099925,0.22,1.0,1,cs,True,"[(554351.807, 145551.786), (554349.495, 145553.399)]"
144,43886076,,951,976,0.006,0.2238,0.086,0.009008600390099925,0.22,1.0,1,cs,True,"[(554347.843, 145554.527), (554349.495, 145553.399)]"
145,43826428,,2289,609,0.042,0.2633,0.078,0.013817932201067487,0.319,1.0,1,cs,True,"[(554285.871071, 145628.336417), (554298.049, 145597.133)]"
146,52879084,,3049,2027,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1,cs,True,"[(554290.0, 145523.0), (554287.8636340001, 145522.293998)]"
147,52929748,,3047,2035,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1,cs,True,"[(554352.0, 145525.0), (554353.046945, 145530.75370899998)]"
148,43885191,,1498,1783,0.014,0.2238,0.086,0.009008600390099925,0.22,1.0,1,cs,True,"[(554314.145, 145586.811), (554319.73, 145578.952)]"
149,43826638,,1995,2034,0.061,0.2633,0.078,0.013817932201067487,0.319,1.0,1,cs,True,"[(554306.126848, 145541.75357899998), (554347.499633, 145522.191979)]"
150,52929740,,3052,2034,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1,cs,True,"[(554352.0, 145525.0), (554347.499633, 145522.191979)]"
151,43897724,,2285,1606,0.008,0.0571,0.04,0.002071305123661409,0.647,1.0,1,cs,True,"[(554280.802819, 145632.03557), (554268.921, 145651.144)]"
152,43906858,,546,1796,0.002,0.8409,0.094,0.012281421644563265,0.105,1.0,1,cs,True,"[(554293.1479999999, 145561.948), (554297.249, 145558.826)]"
