,SectionID,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,max_i_ka,df,parallel,type,in_service,coords,FromNodeID,ToNodeID
188,52937860,,3077.0,2344.0,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1.0,cs,True,"[(554197.0, 146608.0), (554189.6209229999, 146610.720098)]",42904673,52937858
189,43903418,,1284.0,1727.0,0.003,2.1181,0.094,0.00691136629719886,0.075,1.0,1.0,cs,True,"[(554061.832, 146496.115), (554061.255, 146496.968)]",42682256,42680373
190,43895114,,1284.0,1764.0,0.03,0.2238,0.082,0.0045043001950499624,0.255,1.0,1.0,cs,True,"[(554061.832, 146496.115), (554084.11, 146511.314)]",42682256,42685683
191,43923788,,1841.0,1764.0,0.032,0.2384,0.078,0.004118756857055117,0.261,1.0,1.0,cs,True,"[(554104.134854, 146525.17744600002), (554084.11, 146511.314)]",52882962,42685683
192,43885515,,1423.0,681.0,0.032,0.2238,0.086,0.009008600390099925,0.22,1.0,1.0,cs,True,"[(554223.909, 146552.981), (554220.494, 146552.833)]",42769956,42678648
193,43885892,,1366.0,681.0,0.007,0.2238,0.086,0.009008600390099925,0.22,1.0,1.0,cs,True,"[(554229.316, 146550.197), (554220.494, 146552.833)]",42699804,42678648
194,43884869,,1627.0,1045.0,0.01,0.2238,0.086,0.009008600390099925,0.22,1.0,1.0,cs,True,"[(554285.329, 146453.2), (554294.464, 146457.461)]",42678001,42696282
195,43824841,,606.0,1045.0,0.013,0.4476,0.09,0.011258042236110585,0.15,1.0,1.0,cs,True,"[(554307.9010000001, 146457.19199999998), (554294.464, 146457.461)]",42768223,42696282
196,43906496,,1552.0,1535.0,0.014,0.8409,0.094,0.012281421644563265,0.105,1.0,1.0,cs,True,"[(554223.596, 146589.369), (554222.6329999999, 146586.055)]",42733247,42683689
197,43966956,,2342.0,1535.0,0.045,0.9266,0.086,0.02060124821589481,0.149,1.0,1.0,cs,True,"[(554201.1550220001, 146602.072794), (554222.6329999999, 146586.055)]",52937842,42683689
198,43914165,,1194.0,955.0,0.018,0.8409,0.086,0.006140710822281632,0.122,1.0,1.0,cs,True,"[(554153.65, 146629.15), (554157.966, 146631.2)]",42793470,42688750
199,43966962,,2340.0,955.0,0.063,0.4932,0.083,0.01888407013430177,0.209,1.0,1.0,cs,True,"[(554191.267846, 146609.485373), (554157.966, 146631.2)]",52937826,42688750
200,43886183,,1157.0,1627.0,0.015,0.2238,0.086,0.009008600390099925,0.22,1.0,1.0,cs,True,"[(554276.4839999999, 146449.074), (554285.329, 146453.2)]",42690135,42678001
201,43825281,,667.0,1627.0,0.006,0.4476,0.09,0.011258042236110585,0.15,1.0,1.0,cs,True,"[(554287.618, 146447.952), (554285.329, 146453.2)]",42782833,42678001
202,43884658,,1157.0,1130.0,0.02,0.2238,0.086,0.009008600390099925,0.22,1.0,1.0,cs,True,"[(554276.4839999999, 146449.074), (554261.385, 146442.999)]",42690135,42676283
203,43965528,,2575.0,1130.0,0.022,0.2466,0.082,0.015110841974070288,0.308,1.0,1.0,cs,True,"[(554243.0, 146440.0), (554261.385, 146442.999)]",52850986,42676283
204,43939533,,1975.0,518.0,0.029,1.4662,0.09,0.023149809904275686,0.11,1.0,1.0,cs,True,"[(554158.713624, 146531.972782), (554157.212, 146519.533)]",52076053,42791308
205,43966953,,1964.0,1638.0,0.033,0.9266,0.086,0.02060124821589481,0.149,1.0,1.0,cs,True,"[(554328.250001, 146564.81957999998), (554301.129, 146581.024)]",52937794,42702361
206,43966963,,2341.0,1202.0,0.027,0.4932,0.083,0.01888407013430177,0.209,1.0,1.0,cs,True,"[(554192.91617, 146608.24959700002), (554197.6170000001, 146583.44400000002)]",52937834,42799793
