[GENERAL]
DATE=March 15, 2017 at 16:18:13
CYME_VERSION=7.20
CYMDIST_REVISION=05

[SI]

[CABLE]
FORMAT_CABLE=ID,R1,R0,X1,X0,B1,B0,Amps,Amps_1,Amps_2,Amps_3,Amps_4,WithstandRating,FailRate,TmpFailRate,MajorRepairTime,MinorRepairTime,MajorFailureProportion,RatedLevel,PositiveSequenceShuntConductance,ZeroSequenceShuntConductance,LockImpedance,Manufacturer,Standard,CableType,NumberOfGroundingConductors,ArmorOuterDiameter,OverallDiameter,ConcentricNeutralBeforeSheath,UserDefinedImpedances,Frequency,Temperature,ImpedancesNote,Favorite,Flags,Comments
M-XKDT-95AL+16-AL,0.412700,1.801000,0.116600,0.060000,70.620000,70.620000,234.000000,234.000000,234.000000,261.000000,261.000000,300.000000,,,,,,20.000000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-C2X-8+2X7,0.415800,0.000000,0.326900,0.000000,3.544000,0.000000,305.000000,305.000000,305.000000,305.000000,305.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-BT-185,0.100000,0.000000,0.100000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
M-TT-120-CU,0.178000,0.178000,0.110000,0.110000,78.161000,78.161000,248.000000,248.000000,248.000000,287.000000,287.000000,300.000000,,,,,,20.000000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
M-XKDT-F-240,0.095000,0.095000,0.105000,0.105000,125.500000,125.500000,487.000000,487.000000,487.000000,536.000000,536.000000,300.000000,,,,,,20.000000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
M-GT-F-50,0.493000,0.493000,0.128000,0.128000,67.824000,67.824000,202.000000,202.000000,202.000000,222.000000,222.000000,300.000000,,,,,,20.000000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-T-2#$%#5,8.522200,0.000000,0.106000,0.000000,315.950000,0.000000,30.000000,30.000000,30.000000,35.000000,35.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
M-GKT-F-185-10KV,0.127000,0.127000,0.108000,0.108000,111.910000,111.910000,424.000000,424.000000,424.000000,466.000000,466.000000,300.000000,,,,,,10.000000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-G-10,2.118100,0.000000,0.105000,0.000000,230.280000,0.000000,65.000000,65.000000,65.000000,65.000000,65.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-T-2X50,0.246600,0.000000,0.004200,0.000000,337.120000,0.000000,380.000000,380.000000,380.000000,418.000000,418.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,2,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-G-50,0.493200,0.000000,0.083000,0.000000,168.560000,0.000000,190.000000,190.000000,190.000000,209.000000,209.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-C-2X6+2X5,0.799600,1.237000,0.349100,1.396000,3.308000,1.400000,185.000000,185.000000,185.000000,185.000000,185.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-C-120,0.165700,0.355000,0.299200,0.927000,3.892000,1.600000,560.000000,560.000000,560.000000,560.000000,560.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-T-95+50,0.223800,0.000000,0.082000,0.000000,706.680000,0.000000,220.000000,220.000000,220.000000,255.000000,255.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-TT-3X95,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,3,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-GKN-K-95 AL+50,0.374000,1.000000,0.071000,1.000000,1.000000,1.000000,195.000000,195.000000,195.000000,217.000000,217.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-T-4X(3X240+240),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,4,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-P-3,7.040000,0.000000,0.143000,0.000000,312.730000,0.000000,30.000000,30.000000,30.000000,30.000000,30.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
M-TST-5,0.392000,0.392000,0.125000,0.125000,61.407000,61.407000,169.000000,169.000000,169.000000,196.000000,196.000000,300.000000,,,,,,20.000000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-GKN-K-240,0.096000,0.000000,0.072000,0.000000,243.380000,0.000000,470.000000,470.000000,470.000000,517.000000,517.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
M-XKT-F-150,0.159000,0.159000,0.113000,0.113000,94.200000,94.200000,376.000000,376.000000,376.000000,414.000000,414.000000,300.000000,,,,,,20.000000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-X-2X240-AL,0.080000,0.000000,0.038000,0.000000,486.770000,0.000000,684.000000,684.000000,684.000000,752.000000,752.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,2,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-T-3X240 AL+150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,3,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-BT-2X185,0.100000,0.000000,0.100000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,2,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
M-TT-25-10KV,0.824000,0.824000,0.141000,0.141000,50.240000,50.240000,112.000000,112.000000,112.000000,130.000000,130.000000,300.000000,,,,,,10.000000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
M-XKDT-Y-240-10 KV,0.095000,0.095000,0.105000,0.105000,116.239000,116.239000,487.000000,487.000000,487.000000,536.000000,536.000000,300.000000,,,,,,10.000000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-T-120U,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-C-5#$%#5,0.825600,0.000000,0.350700,0.000000,3.292000,0.000000,185.000000,185.000000,185.000000,185.000000,185.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
